timestamp col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15
"2025-10-04 11:38:13.328456" 605 ERROR 41.03 US 91 Yes ServiceC 4872 Inactive 214.3 0 High 365 UDP Success
"2025-10-04 11:39:13.328456" 564 WARN 60.02 US 752 No ServiceC 4741 Inactive 309.3 1 Low 229 UDP Failure
"2025-10-04 11:40:13.328456" 807 WARN 76.11 EU 221 Yes ServiceB 3144 Active 157.2 0 Medium 596 UDP Failure
"2025-10-04 11:41:13.328456" 400 ERROR 28.03 EU 462 Yes ServiceB 2371 Inactive 308.2 1 High 473 TCP Success
"2025-10-04 11:42:13.328456" 853 ERROR 70.42 US 404 Yes ServiceB 1315 Active 445.9 0 Low 648 UDP Success
"2025-10-04 11:43:13.328456" 603 ERROR 21.36 EU 585 Yes ServiceB 2146 Active 213.8 0 Medium 279 TCP Success
"2025-10-04 11:44:13.328456" 788 ERROR 80.87 US 166 No ServiceC 1525 Inactive 150.1 0 Low 537 TCP Success
"2025-10-04 11:45:13.328456" 761 ERROR 64.04 US 232 Yes ServiceA 1114 Active 280.0 1 Medium 454 UDP Failure
"2025-10-04 11:46:13.328456" 379 ERROR 62.32 EU 826 No ServiceA 4345 Inactive 146.5 0 Low 752 TCP Failure
"2025-10-04 11:47:13.328456" 680 WARN 10.99 APAC 649 Yes ServiceC 2146 Active 370.7 1 Low 291 UDP Success
"2025-10-04 11:48:13.328456" 119 ERROR 24.26 US 189 No ServiceA 2785 Active 424.1 0 High 375 UDP Failure
"2025-10-04 11:49:13.328456" 968 INFO 14.59 APAC 160 Yes ServiceB 1402 Active 249.2 1 Medium 786 TCP Success
"2025-10-04 11:50:13.328456" 153 WARN 66.37 US 570 No ServiceC 2687 Active 318.6 1 Medium 286 TCP Failure
"2025-10-04 11:51:13.328456" 987 ERROR 6.37 US 753 Yes ServiceB 2263 Inactive 195.2 1 Low 450 UDP Success
"2025-10-04 11:52:13.328456" 386 INFO 42.14 EU 809 No ServiceA 3720 Inactive 280.1 1 Low 634 TCP Failure
"2025-10-04 11:53:13.328456" 236 WARN 0.35 EU 771 Yes ServiceA 2249 Inactive 264.3 0 High 295 UDP Success
"2025-10-04 11:54:13.328456" 915 INFO 28.66 EU 825 Yes ServiceA 4652 Active 161.8 0 High 311 UDP Failure
"2025-10-04 11:55:13.328456" 311 WARN 71.92 EU 949 Yes ServiceC 4354 Inactive 23.2 0 Medium 455 TCP Success
"2025-10-04 11:56:13.328456" 190 INFO 58.57 US 857 Yes ServiceA 4626 Inactive 446.0 0 High 470 UDP Success
"2025-10-04 11:57:13.328456" 998 INFO 32.05 EU 404 Yes ServiceC 3265 Active 279.9 0 Low 669 UDP Failure
"2025-10-04 11:58:13.328456" 243 INFO 67.28 APAC 433 No ServiceB 2924 Inactive 353.8 0 Medium 675 TCP Failure
"2025-10-04 11:59:13.328456" 957 INFO 59.36 US 515 No ServiceB 2617 Active 288.8 1 High 379 TCP Failure
"2025-10-04 12:00:13.328456" 655 WARN 69.86 EU 363 No ServiceC 1787 Active 241.0 1 Low 732 UDP Success
"2025-10-04 12:01:13.328456" 587 ERROR 0.05 APAC 68 Yes ServiceA 2580 Active 142.3 1 Medium 832 TCP Success
"2025-10-04 12:02:13.328456" 308 WARN 33.27 EU 733 No ServiceC 3266 Inactive 288.4 0 Medium 654 TCP Failure
"2025-10-04 12:03:13.328456" 209 WARN 94.82 US 15 No ServiceB 2106 Active 279.4 0 Low 831 UDP Success
"2025-10-04 12:04:13.328456" 544 ERROR 94.25 APAC 521 Yes ServiceA 3358 Inactive 259.2 1 Medium 237 TCP Failure
"2025-10-04 12:05:13.328456" 833 ERROR 49.47 US 276 Yes ServiceB 3454 Inactive 414.9 0 Medium 644 TCP Failure
"2025-10-04 12:06:13.328456" 699 ERROR 77.86 APAC 612 Yes ServiceB 1206 Inactive 54.5 0 High 802 TCP Failure
"2025-10-04 12:07:13.328456" 527 INFO 23.97 EU 497 No ServiceC 4760 Inactive 315.3 0 Medium 686 UDP Failure
"2025-10-04 12:08:13.328456" 754 ERROR 35.93 US 522 No ServiceA 1584 Active 21.2 1 High 408 UDP Failure
